Training1  	Training2  	Test 
4,353861 	8,34815 	17,596003 
5,121813 	10,444578 	14,798695 
9,294706 	8,62778 	8,896551 
8,541132 	7,964886 	7,569859 
7,83734 	7,447608 	7,290076 
7,489769 	7,080833 	7,323954 
7,320543 	6,595777 	7,168766 
7,051787 	5,789719 	7,134471 
6,682012 	5,734994 	6,195802 
6,27404 	5,128878 	5,60552 
5,827546 	4,733448 	5,22807 
5,590875 	4,437164 	4,756316 
5,150894 	3,808122 	4,415251 
4,858497 	3,143469 	4,241499 
4,954916 	3,078932 	4,199151 
4,423144 	3,060771 	4,007254 
4,456501 	2,888379 	4,037711 
4,755273 	2,463888 	4,452672 
4,834405 	2,051002 	3,620985 
4,681848 	1,839561 	3,528851 
4,344438 	1,747497 	4,555233 
4,581764 	1,859775 	3,74571 
4,67464 	1,836894 	3,201807 
4,55797 	1,7663 	3,207546 
4,508676 	1,280407 	3,571107 
4,397874 	1,381339 	3,252956 
4,121569 	1,317221 	3,819401 
4,187744 	1,157093 	3,032615 
4,168816 	1,16502 	3,09305 
4,038526 	1,246691 	3,211961 
4,129476 	1,492719 	3,227349 
3,870764 	1,116471 	3,21058 
3,885608 	1,137572 	3,200985 
3,742118 	0,965703 	3,212727 
3,630434 	1,714149 	2,951371 
4,491215 	1,582817 	3,275268 
3,971291 	0,708339 	3,150648 
3,630721 	1,276326 	3,101377 
3,837203 	0,977336 	3,260633 
3,758408 	1,00925 	3,204434 
