Training1  	Training2  	Test 
11,02124 	10,731705 	10,524447 
11,012279 	10,730905 	10,525824 
11,007681 	10,727161 	10,522744 
11,009412 	10,716945 	10,517009 
11,010153 	10,710916 	10,510732 
11,008602 	10,71415 	10,516739 
11,008301 	10,708049 	10,513324 
11,007743 	10,697146 	10,501042 
11,005743 	10,689712 	10,496036 
11,005351 	10,701338 	10,498854 
11,006591 	10,699583 	10,50031 
11,001713 	10,694027 	10,500889 
11,006 	10,679624 	10,501645 
11,005363 	10,680354 	10,498156 
11,00035 	10,680006 	10,500462 
10,999128 	10,681214 	10,506438 
11,0037 	10,671452 	10,504182 
11,003458 	10,664267 	10,500282 
11,002144 	10,673116 	10,510491 
11,006106 	10,66639 	10,510609 
11,006215 	10,655012 	10,512604 
11,011785 	10,646447 	10,511395 
11,008636 	10,642865 	10,511164 
11,007432 	10,62919 	10,512737 
11,004705 	10,631968 	10,509415 
11,002633 	10,621365 	10,506865 
11,001062 	10,618744 	10,49378 
10,991178 	10,612647 	10,478119 
10,985105 	10,606533 	10,466562 
10,980519 	10,602231 	10,455755 
10,977847 	10,577723 	10,442298 
10,972812 	10,571517 	10,442046 
10,969568 	10,558281 	10,434117 
10,964169 	10,547067 	10,421371 
10,955036 	10,536534 	10,41107 
10,952031 	10,525421 	10,400101 
10,94726 	10,517146 	10,388134 
10,944208 	10,505164 	10,377595 
10,939408 	10,494458 	10,364792 
10,934166 	10,479332 	10,347558 
10,925264 	10,464926 	10,338168 
10,915401 	10,449393 	10,333839 
10,913679 	10,439314 	10,321301 
10,902777 	10,436494 	10,307437 
10,899926 	10,420289 	10,298933 
10,892758 	10,410807 	10,28543 
10,885453 	10,397827 	10,273645 
10,879468 	10,374484 	10,262409 
10,874542 	10,378892 	10,247203 
10,869732 	10,352407 	10,241671 
10,866777 	10,328317 	10,225322 
10,861782 	10,315238 	10,215064 
10,858346 	10,297723 	10,195502 
10,852376 	10,289645 	10,195004 
10,84805 	10,27098 	10,192536 
10,84656 	10,252149 	10,187188 
10,842448 	10,245861 	10,166964 
10,829002 	10,238683 	10,155064 
10,817834 	10,234904 	10,142585 
10,811646 	10,228204 	10,117747 
10,798739 	10,225544 	10,102639 
10,79093 	10,210515 	10,093615 
10,794636 	10,189123 	10,087614 
10,790265 	10,177246 	10,074486 
10,786368 	10,163086 	10,06209 
10,775903 	10,14893 	10,048559 
10,77083 	10,127812 	10,038116 
10,76391 	10,108189 	10,030003 
10,759 	10,11207 	10,014156 
10,752399 	10,079314 	10,008657 
10,738205 	10,090643 	9,987629 
10,727142 	10,075657 	9,972369 
10,723275 	10,053777 	9,954893 
10,717716 	10,029788 	9,944502 
10,708925 	10,013945 	9,946601 
10,711898 	9,995195 	9,924658 
10,703271 	9,997358 	9,894212 
10,681697 	10,004081 	9,887266 
10,664759 	10,011857 	9,886593 
10,662203 	9,992096 	9,875481 
10,663862 	9,919047 	9,887031 
10,681659 	9,892346 	9,870708 
10,674062 	9,877619 	9,857846 
10,661925 	9,840675 	9,865822 
10,673623 	9,874674 	9,808971 
10,632009 	9,875218 	9,795865 
10,605909 	9,850751 	9,785288 
10,602333 	9,825681 	9,782018 
10,638852 	9,811936 	9,750987 
10,613548 	9,796452 	9,7303 
10,598865 	9,767356 	9,737285 
10,622705 	9,779495 	9,71194 
10,612028 	9,763089 	9,697304 
10,603174 	9,745295 	9,682154 
10,584003 	9,707985 	9,678838 
10,567302 	9,689101 	9,670391 
10,57287 	9,694816 	9,657189 
10,560733 	9,670038 	9,632234 
10,554504 	9,689944 	9,631487 
10,530258 	9,677808 	9,635676 
10,527225 	9,652092 	9,638864 
10,514869 	9,683269 	9,643555 
10,503954 	9,640041 	9,619646 
10,451525 	9,65844 	9,628936 
10,439536 	9,645739 	9,630231 
10,454511 	9,639277 	9,634061 
10,470451 	9,652758 	9,578402 
10,492477 	9,550808 	9,585217 
10,492115 	9,556507 	9,569833 
10,477476 	9,500398 	9,589211 
10,48232 	9,49455 	9,592013 
10,464971 	9,538751 	9,547919 
10,42717 	9,541424 	9,520064 
10,410956 	9,49698 	9,530205 
10,385288 	9,510938 	9,533106 
10,33802 	9,499826 	9,520678 
10,322785 	9,505349 	9,491115 
10,242911 	9,499777 	9,477037 
10,192479 	9,497001 	9,47456 
10,166063 	9,485663 	9,471417 
10,200135 	9,474019 	9,456179 
10,178849 	9,423408 	9,459092 
10,159818 	9,428862 	9,442572 
10,172646 	9,419998 	9,416018 
10,164249 	9,412366 	9,414559 
10,119169 	9,424738 	9,410254 
10,133528 	9,384243 	9,410487 
10,131599 	9,384093 	9,405411 
10,115984 	9,3392 	9,420249 
10,118752 	9,372161 	9,395491 
10,087762 	9,35951 	9,387607 
10,076805 	9,322896 	9,383327 
10,034728 	9,341687 	9,382319 
10,048039 	9,328795 	9,377361 
10,017649 	9,308015 	9,361875 
10,022458 	9,308588 	9,368279 
10,024236 	9,281201 	9,375339 
9,966172 	9,230107 	9,398484 
10,022636 	9,151338 	9,441895 
10,059554 	9,20264 	9,40386 
10,040127 	9,149582 	9,39446 
10,023053 	9,255789 	9,330352 
9,947365 	9,235353 	9,314013 
9,957176 	9,22782 	9,306864 
9,920102 	9,209734 	9,304586 
9,906854 	9,206815 	9,302034 
9,880663 	9,222997 	9,324691 
9,89169 	9,179342 	9,338454 
9,909296 	9,179553 	9,328479 
9,872641 	9,176365 	9,329305 
9,857959 	9,161257 	9,354087 
9,895151 	9,114415 	9,322702 
9,867071 	9,127538 	9,311809 
9,832111 	9,064126 	9,343783 
9,882569 	9,04472 	9,351263 
9,868658 	9,074687 	9,326175 
9,845293 	9,035906 	9,310635 
9,834809 	9,071619 	9,305725 
9,785737 	9,077892 	9,296249 
9,784076 	9,071159 	9,289012 
9,790924 	9,053418 	9,282324 
9,714602 	9,045279 	9,293941 
9,787943 	9,082693 	9,311163 
9,786085 	9,074241 	9,27122 
9,737908 	9,022608 	9,259201 
9,747851 	9,038199 	9,251744 
9,749307 	9,049981 	9,253823 
9,768205 	9,034745 	9,256027 
9,717286 	9,012438 	9,235285 
9,724082 	8,980965 	9,236533 
9,690131 	8,975582 	9,236324 
9,722759 	8,978624 	9,226462 
9,705271 	8,976297 	9,227837 
9,725661 	8,946587 	9,225217 
9,699673 	8,95778 	9,228315 
9,686773 	8,943066 	9,233105 
9,690427 	8,909599 	9,253154 
9,68897 	8,939852 	9,288928 
9,697158 	8,910928 	9,246559 
9,657217 	8,942887 	9,253091 
9,647591 	8,913547 	9,234639 
9,643962 	8,888009 	9,227956 
9,639233 	8,877575 	9,270652 
9,60269 	8,881895 	9,269892 
9,646472 	8,897214 	9,270409 
9,612434 	8,892974 	9,294358 
9,602744 	8,851348 	9,305671 
9,613518 	8,85423 	9,299916 
9,618137 	8,854156 	9,263747 
9,635164 	8,829464 	9,242519 
9,566447 	8,809617 	9,241824 
9,569774 	8,787417 	9,230369 
9,610842 	8,802562 	9,243614 
9,596118 	8,759866 	9,240331 
9,633158 	8,78612 	9,22461 
9,605213 	8,780977 	9,219966 
9,567901 	8,688981 	9,318406 
9,628296 	8,670125 	9,28413 
9,571022 	8,750154 	9,309031 
9,509481 	8,782927 	9,306232 
9,487102 	8,793854 	9,288872 
9,54358 	8,711341 	9,283922 
9,552131 	8,686766 	9,268985 
9,55957 	8,724488 	9,240524 
9,517529 	8,727268 	9,250642 
9,505401 	8,715508 	9,259587 
9,470199 	8,713743 	9,232261 
9,474432 	8,677235 	9,28988 
9,449079 	8,725661 	9,275171 
9,481111 	8,702656 	9,271807 
9,437584 	8,675729 	9,2957 
9,485737 	8,651104 	9,235691 
9,469332 	8,664247 	9,260071 
9,440534 	8,662593 	9,275689 
9,431541 	8,65162 	9,265093 
9,364512 	8,616578 	9,269276 
9,4387 	8,618988 	9,269783 
9,449089 	8,614878 	9,277594 
9,446882 	8,564105 	9,299949 
9,47159 	8,551432 	9,294614 
9,460829 	8,499467 	9,311562 
9,427175 	8,574674 	9,291174 
9,381105 	8,594412 	9,289543 
9,3411 	8,575738 	9,287644 
9,32468 	8,559617 	9,292543 
9,324493 	8,567695 	9,313338 
9,348461 	8,564316 	9,308442 
9,361497 	8,555393 	9,296283 
9,286881 	8,568003 	9,288882 
9,28363 	8,564996 	9,295143 
9,258755 	8,594623 	9,295656 
9,307347 	8,518017 	9,286842 
9,273732 	8,480937 	9,256687 
9,316776 	8,458485 	9,252397 
9,327065 	8,464543 	9,250337 
9,3361 	8,399202 	9,29374 
9,287555 	8,416176 	9,321742 
