Training1  	Training2  	Test 
12,209171 	7,504782 	26,584723 
15,207728 	12,091901 	20,099337 
13,59516 	13,304552 	14,59132 
13,116683 	12,369851 	12,682887 
12,560479 	12,065828 	12,4974 
12,474219 	12,237346 	12,129428 
12,323495 	12,25691 	11,835153 
12,183317 	11,935263 	11,627214 
11,951435 	11,933119 	11,565376 
11,966469 	11,888386 	11,492987 
11,908629 	11,838068 	11,4187 
11,802914 	11,638191 	11,378963 
11,721188 	11,635905 	11,342355 
11,694498 	11,608209 	11,30463 
11,647204 	11,555032 	11,267884 
11,612791 	11,525271 	11,244031 
11,593476 	11,490277 	11,205274 
11,555373 	11,410163 	11,183342 
11,531422 	11,417592 	11,125256 
11,488173 	11,38828 	11,085551 
11,452954 	11,362302 	11,053013 
11,434344 	11,290485 	11,050191 
11,431629 	11,262879 	11,041627 
11,432862 	11,272705 	10,983382 
11,406587 	11,231738 	10,961944 
11,388082 	11,200808 	10,944487 
11,362265 	11,144777 	10,936259 
11,351662 	11,142599 	10,927856 
11,33308 	11,157082 	10,887995 
11,30633 	11,119622 	10,843171 
11,293486 	11,096486 	10,823027 
11,276708 	11,08795 	10,810469 
11,262754 	11,062801 	10,798864 
11,247332 	11,048176 	10,787672 
11,237582 	11,034642 	10,774787 
11,229454 	11,02281 	10,763183 
11,220349 	11,004471 	10,757084 
11,211622 	10,995726 	10,745636 
11,196071 	10,980347 	10,736593 
11,190723 	10,95308 	10,734906 
11,181521 	10,951496 	10,710112 
11,174983 	10,934556 	10,692131 
11,16077 	10,927469 	10,68881 
11,155285 	10,923742 	10,675942 
11,144264 	10,910766 	10,661579 
11,131857 	10,901591 	10,649367 
11,116519 	10,890277 	10,644453 
11,104726 	10,880649 	10,636344 
11,095267 	10,865537 	10,623904 
11,088761 	10,849748 	10,612087 
11,084104 	10,845619 	10,608279 
11,070819 	10,833507 	10,601783 
11,082727 	10,824737 	10,600006 
11,08038 	10,816752 	10,594461 
11,071292 	10,805058 	10,587718 
11,065569 	10,790957 	10,585184 
11,061249 	10,786198 	10,578329 
11,055223 	10,771468 	10,578124 
11,056425 	10,769429 	10,567728 
11,042525 	10,762902 	10,553901 
11,028732 	10,759117 	10,555357 
11,032066 	10,754254 	10,545819 
11,022443 	10,745688 	10,537249 
