Training1  	Training2  	Test 
3,885183 	4,746377 	9,390566 
6,97625 	4,984081 	10,944694 
10,903966 	9,103182 	5,995902 
5,995723 	5,995328 	5,995244 
5,995136 	5,994905 	5,994902 
5,99482 	5,994648 	5,994676 
5,994607 	5,99447 	5,99452 
5,994462 	5,99435 	5,994416 
5,994365 	5,994261 	5,994325 
5,994273 	5,994169 	5,994234 
5,994181 	5,994077 	5,994145 
5,994091 	5,993987 	5,994056 
5,994002 	5,993897 	5,993968 
5,993913 	5,993809 	5,993882 
5,993826 	5,993721 	5,993796 
5,99374 	5,993635 	5,993712 
5,993655 	5,993551 	5,993629 
5,993572 	5,993467 	5,993548 
5,993489 	5,993385 	5,993467 
5,993408 	5,993304 	5,993388 
5,993329 	5,993224 	5,99331 
5,99325 	5,993144 	5,993231 
5,993169 	5,993062 	5,99315 
5,993087 	5,992978 	5,993067 
5,993003 	5,992892 	5,992981 
5,992916 	5,992804 	5,992894 
5,992827 	5,992714 	5,992805 
5,992737 	5,992621 	5,992713 
5,992644 	5,992526 	5,992619 
5,992548 	5,992429 	5,992522 
5,99245 	5,992329 	5,992424 
5,99235 	5,992227 	5,992322 
5,992247 	5,992122 	5,992218 
5,992141 	5,992014 	5,992111 
5,992033 	5,991904 	5,992001 
5,991921 	5,99179 	5,991888 
5,991806 	5,991673 	5,991772 
5,991688 	5,991552 	5,991653 
5,991567 	5,991429 	5,99153 
5,991442 	5,991301 	5,991404 
5,991314 	5,99117 	5,991273 
5,991182 	5,991035 	5,991139 
