Training1  	Training2  	Test 
4,976249 	4,319415 	4,548286 
4,533684 	4,202371 	4,179504 
4,365033 	4,196177 	4,239802 
4,367104 	4,395561 	3,902673 
4,553504 	5,019256 	3,892991 
5,242256 	7,555167 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
11 	11 	11 
